From_Bus,To_Bus,BR_R_PU,BR_X_PU,BR_B_PU,RateA_MVA,RateB_MVA,RateC_MVA,Tap,Shift,BR_Status,ANGMIN,ANGMAX,Pij,Qij,Pji,Qji
7,6,0.003,0.2,0.2939,950,950,950,0,0,1,-360,360,20.952940160443898,-17.7323299422853,-20.942055166984,-17.1039035247259
7,6,0.003,0.2,0.2939,950,950,950,0,0,1,-360,360,20.952940160443898,-17.7323299422853,-20.942055166984,-17.1039035247259
8,10,0.0008300000000000001,0.0175,0.6624,3070,3070,3070,0,0,1,-360,360,1017.93978529901,-36.651856246704895,-1010.78176554095,107.70418768645399
8,10,0.0008300000000000001,0.0175,0.6624,3070,3070,3070,0,0,1,-360,360,1017.93978529901,-36.651856246704895,-1010.78176554095,107.70418768645399
9,11,0.00164,0.0163,0.4868,1390,1390,1390,0,0,1,-360,360,901.400099122794,-81.77266418390691,-890.297758730219,133.355147972033
9,11,0.00164,0.0163,0.4868,1390,1390,1390,0,0,1,-360,360,901.400099122794,-81.77266418390691,-890.297758730219,133.355147972033
9,10,0.00352,0.02453,0.1898,855,855,855,0,0,1,-360,360,169.82629340496,-44.316137546247,-168.951695876964,27.4993263901103
9,10,0.00492,0.0343,0.2502,775,775,775,0,0,1,-360,360,121.455339041085,-38.5788256813663,-120.83010219309999,12.734857749628501
10,15,0.00053,0.00835,5.372999999999999,4840,4840,4840,0,0,1,-360,360,1400.0553815859198,-342.535553243152,-1391.46824154339,-172.153335585361
10,15,0.0005200000000000001,0.0063,1.0636,4020,4020,4020,0,0,1,-360,360,1852.2899456807102,-122.606221353731,-1837.5306604217199,172.75594925742502
11,15,0.0007,0.042,0.3907,2520,2520,2520,0,0,1,-360,360,27.6753772800068,-23.273722553927698,-27.670945535173303,-23.723718101402696
11,15,0.00099,0.042,0.5738,2520,2520,2520,0,0,1,-360,360,27.6733848353518,-34.5423172243288,-27.667118822375397,-34.604975953749296
11,13,0.0004,0.0052,0.2498,2170,2170,2170,0,0,1,-360,360,1245.52646859457,167.685304355162,-1240.2876209783099,-129.488678667125
11,13,0.0004,0.0052,0.2664,2210,2210,2210,0,0,1,-360,360,1245.52646859457,166.681004378334,-1240.2876209783099,-130.471886012826
11,12,0.0001,0.0085,0.0798,3320,3320,3320,0,0,1,-360,360,117.792024037166,-5.72628462156029,-117.78055646002399,-2.95477112279522
11,12,0.0001,0.0085,0.0798,3320,3320,3320,0,0,1,-360,360,117.792024037166,-5.72628462156029,-117.78055646002399,-2.95477112279522
12,13,0.0009599999999999999,0.01078,0.385,3100,3100,3100,0,0,1,-360,360,509.754128099973,61.1693545335708,-507.63591522801903,-83.4793916356894
12,18,0.00074,0.009000000000000001,0.2911,2400,2400,2400,1,2,1,-360,360,770.8129112831281,155.67390643297702,-766.99560963411,-143.911557390183
12,18,0.0009699999999999999,0.009000000000000001,0.3835,2400,2400,2400,0,0,1,-360,360,1231.95848194176,115.133470300322,-1219.63821242791,-46.4890091530056
12,13,0.0009599999999999999,0.01078,0.385,3100,3100,3100,1,2,1,-360,360,124.348561312062,84.7220755145144,-124.133317303153,-128.40086714122802
13,18,0.00049,0.006999999999999999,0.1943,2400,2400,2400,0,0,1,-360,360,792.751080245518,44.46552671967461,-790.138543098512,-30.0339958225242
13,18,0.00084,0.006999999999999999,0.7759,2400,2400,2400,0,0,1,-360,360,790.821055668605,-29.3882190578716,-786.384363613017,-25.0479078944069
13,15,0.00137,0.023,0.6643,1240,1240,1240,0,0,1,-360,360,-230.499071745225,-74.3029060793273,231.127661792254,5.338970218749191
13,15,0.00164,0.023,0.1104,955,955,955,0,0,1,-360,360,-230.71539534609502,-38.7744811046786,231.46671793089803,36.0964094182956
